       HeapSort	     Increasing	          15005	       0.002000
       HeapSort	     Increasing	          17501	       0.002000
       HeapSort	     Increasing	          19281	       0.002000
       HeapSort	     Increasing	          30000	       0.004000
       HeapSort	     Decreasing	           1500	       0.000000
       HeapSort	     Decreasing	           3000	       0.000000
       HeapSort	     Decreasing	           7500	       0.001000
       HeapSort	     Decreasing	           9000	       0.002000
       HeapSort	     Decreasing	          15000	       0.002000
       HeapSort	     Decreasing	          15001	       0.002000
       HeapSort	     Decreasing	          15005	       0.002000
       HeapSort	     Decreasing	          17501	       0.002000
       HeapSort	     Decreasing	          19281	       0.002000
       HeapSort	     Decreasing	          30000	       0.004000
       HeapSort	        V-Shape	           1500	       0.000000
       HeapSort	        V-Shape	           3000	       0.000000
       HeapSort	        V-Shape	           7500	       0.001000
       HeapSort	        V-Shape	           9000	       0.002000
       HeapSort	        V-Shape	          15000	       0.002000
       HeapSort	        V-Shape	          15001	       0.002000
       HeapSort	        V-Shape	          15005	       0.002000
       HeapSort	        V-Shape	          17501	       0.002000
       HeapSort	        V-Shape	          19281	       0.003000
       HeapSort	        V-Shape	          30000	       0.005000
